partner,style,share
carol,drop_everything,0.1352
carol,help_after_task,0.1056
carol,pair_up,0.1509
carol,teach,0.1685
carol,quick_tip,0.1500
carol,delegate,0.1120
carol,joke_deflect,0.0880
carol,polite_decline,0.0833
carol,ignore,0.0065
dave,drop_everything,0.1454
dave,help_after_task,0.1093
dave,pair_up,0.1491
dave,teach,0.1546
dave,quick_tip,0.1454
dave,delegate,0.1204
dave,joke_deflect,0.0963
dave,polite_decline,0.0741
dave,ignore,0.0056
bob,drop_everything,0.1491
bob,help_after_task,0.1148
bob,pair_up,0.1713
bob,teach,0.1361
bob,quick_tip,0.1398
bob,delegate,0.1204
bob,joke_deflect,0.0954
bob,polite_decline,0.0657
bob,ignore,0.0074
