circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.8056,-0.1172,-0.1395,0.1333,0.4111,0.4556
home,-0.1829,-0.1142,-0.1693,0.3463,0.2343,0.4194
conference,-0.3426,-0.1128,-0.1633,0.3065,0.2500,0.4435
