partner,style,share
carol,drop_everything,0.1315
carol,help_after_task,0.1324
carol,pair_up,0.1972
carol,teach,0.2213
carol,quick_tip,0.0917
carol,delegate,0.0556
carol,joke_deflect,0.1491
carol,polite_decline,0.0213
carol,ignore,0.0000
dave,drop_everything,0.1111
dave,help_after_task,0.1009
dave,pair_up,0.2231
dave,teach,0.2593
dave,quick_tip,0.0991
dave,delegate,0.0417
dave,joke_deflect,0.1380
dave,polite_decline,0.0269
dave,ignore,0.0000
bob,drop_everything,0.1241
bob,help_after_task,0.1167
bob,pair_up,0.2167
bob,teach,0.2333
bob,quick_tip,0.0991
bob,delegate,0.0509
bob,joke_deflect,0.1380
bob,polite_decline,0.0213
bob,ignore,0.0000
