partner,style,share
carol,drop_everything,0.1167
carol,help_after_task,0.1380
carol,pair_up,0.1833
carol,teach,0.2370
carol,quick_tip,0.1870
carol,delegate,0.0648
carol,joke_deflect,0.0667
carol,polite_decline,0.0065
carol,ignore,0.0000
dave,drop_everything,0.1222
dave,help_after_task,0.1519
dave,pair_up,0.1750
dave,teach,0.2176
dave,quick_tip,0.1935
dave,delegate,0.0796
dave,joke_deflect,0.0583
dave,polite_decline,0.0019
dave,ignore,0.0000
bob,drop_everything,0.1269
bob,help_after_task,0.1574
bob,pair_up,0.1926
bob,teach,0.1972
bob,quick_tip,0.1944
bob,delegate,0.0713
bob,joke_deflect,0.0556
bob,polite_decline,0.0046
bob,ignore,0.0000
