circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2847,-0.1017,-0.1742,0.1231,0.2398,0.6370
home,-0.6991,-0.1009,-0.1726,0.1731,0.3741,0.4528
conference,-0.3843,-0.1031,-0.1735,0.2204,0.4056,0.3741
