partner,style,share
carol,drop_everything,0.1676
carol,help_after_task,0.1000
carol,pair_up,0.2722
carol,teach,0.2056
carol,quick_tip,0.1194
carol,delegate,0.0259
carol,joke_deflect,0.1093
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1630
dave,help_after_task,0.0963
dave,pair_up,0.2454
dave,teach,0.2241
dave,quick_tip,0.1315
dave,delegate,0.0222
dave,joke_deflect,0.1176
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1685
bob,help_after_task,0.0991
bob,pair_up,0.2667
bob,teach,0.2250
bob,quick_tip,0.1157
bob,delegate,0.0269
bob,joke_deflect,0.0981
bob,polite_decline,0.0000
bob,ignore,0.0000
