partner,style,share
carol,drop_everything,0.1824
carol,help_after_task,0.1037
carol,pair_up,0.1824
carol,teach,0.1833
carol,quick_tip,0.2074
carol,delegate,0.0537
carol,joke_deflect,0.0870
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1472
dave,help_after_task,0.0944
dave,pair_up,0.1944
dave,teach,0.2213
dave,quick_tip,0.2019
dave,delegate,0.0417
dave,joke_deflect,0.0991
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1602
bob,help_after_task,0.1083
bob,pair_up,0.1972
bob,teach,0.1870
bob,quick_tip,0.2139
bob,delegate,0.0509
bob,joke_deflect,0.0824
bob,polite_decline,0.0000
bob,ignore,0.0000
