circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2963,-0.1231,-0.1315,0.1019,0.2778,0.6204
home,-1.1250,-0.1223,-0.1281,0.1231,0.3037,0.5731
conference,-0.9606,-0.1223,-0.1231,0.1565,0.3028,0.5407
