circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.6551,-0.1035,-0.1630,0.1824,0.3731,0.4444
home,-0.5046,-0.1027,-0.1773,0.1954,0.4074,0.3972
conference,-0.3611,-0.1040,-0.1653,0.2287,0.3981,0.3731
