circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7083,-0.1053,-0.1595,0.1750,0.3667,0.4583
home,-0.4653,-0.1036,-0.1741,0.1898,0.4343,0.3759
conference,-0.2685,-0.1042,-0.1636,0.2454,0.4019,0.3528
