circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7245,-0.1069,-0.1578,0.1574,0.3954,0.4472
home,-0.5046,-0.1050,-0.1724,0.1769,0.4444,0.3787
conference,-0.3634,-0.1054,-0.1589,0.2324,0.3898,0.3778
