partner,style,share
carol,drop_everything,0.1491
carol,help_after_task,0.1093
carol,pair_up,0.2667
carol,teach,0.2315
carol,quick_tip,0.1065
carol,delegate,0.0269
carol,joke_deflect,0.1102
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1648
dave,help_after_task,0.0870
dave,pair_up,0.2454
dave,teach,0.2306
dave,quick_tip,0.1167
dave,delegate,0.0222
dave,joke_deflect,0.1333
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1611
bob,help_after_task,0.0981
bob,pair_up,0.2648
bob,teach,0.2194
bob,quick_tip,0.1056
bob,delegate,0.0259
bob,joke_deflect,0.1250
bob,polite_decline,0.0000
bob,ignore,0.0000
