circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.2986,-0.1028,-0.1737,0.1130,0.2546,0.6324
home,-0.6644,-0.1018,-0.1718,0.1759,0.3824,0.4417
conference,-0.3704,-0.1042,-0.1711,0.2444,0.3630,0.3926
