circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7986,-0.1184,-0.1369,0.1287,0.4231,0.4481
home,-0.3056,-0.1144,-0.1683,0.3361,0.2056,0.4583
conference,-0.3102,-0.1132,-0.1616,0.3074,0.2611,0.4315
