circumstance,style,early_pct,late_pct,shift
work,drop_everything,0.1250,0.0000,-0.1250
work,help_after_task,0.1944,0.2407,0.0463
work,pair_up,0.1389,0.1157,-0.0231
work,teach,0.2685,0.3565,0.0880
work,quick_tip,0.0787,0.0787,0.0000
work,delegate,0.0787,0.1250,0.0463
work,joke_deflect,0.0880,0.0000,-0.0880
work,polite_decline,0.0278,0.0833,0.0556
work,ignore,0.0000,0.0000,0.0000
home,drop_everything,0.2130,0.1620,-0.0509
home,help_after_task,0.0370,0.0694,0.0324
home,pair_up,0.2454,0.2731,0.0278
home,teach,0.1620,0.1944,0.0324
home,quick_tip,0.1019,0.0741,-0.0278
home,delegate,0.0000,0.0278,0.0278
home,joke_deflect,0.2407,0.1991,-0.0417
home,polite_decline,0.0000,0.0000,0.0000
home,ignore,0.0000,0.0000,0.0000
conference,drop_everything,0.1713,0.1157,-0.0556
conference,help_after_task,0.0880,0.0880,0.0000
conference,pair_up,0.2083,0.2593,0.0509
conference,teach,0.1852,0.1852,0.0000
conference,quick_tip,0.1065,0.1389,0.0324
conference,delegate,0.0046,0.0324,0.0278
conference,joke_deflect,0.2361,0.1806,-0.0556
conference,polite_decline,0.0000,0.0000,0.0000
conference,ignore,0.0000,0.0000,0.0000
