partner,style,share
carol,drop_everything,0.1676
carol,help_after_task,0.1000
carol,pair_up,0.2296
carol,teach,0.2509
carol,quick_tip,0.1204
carol,delegate,0.0111
carol,joke_deflect,0.1204
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1769
dave,help_after_task,0.1120
dave,pair_up,0.2370
dave,teach,0.2093
dave,quick_tip,0.1352
dave,delegate,0.0241
dave,joke_deflect,0.1056
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1861
bob,help_after_task,0.1037
bob,pair_up,0.2574
bob,teach,0.2009
bob,quick_tip,0.1056
bob,delegate,0.0324
bob,joke_deflect,0.1139
bob,polite_decline,0.0000
bob,ignore,0.0000
