partner,style,share
carol,drop_everything,0.1083
carol,help_after_task,0.1259
carol,pair_up,0.2009
carol,teach,0.2093
carol,quick_tip,0.2019
carol,delegate,0.0796
carol,joke_deflect,0.0667
carol,polite_decline,0.0074
carol,ignore,0.0000
dave,drop_everything,0.1204
dave,help_after_task,0.1472
dave,pair_up,0.1926
dave,teach,0.2000
dave,quick_tip,0.2019
dave,delegate,0.0704
dave,joke_deflect,0.0602
dave,polite_decline,0.0074
dave,ignore,0.0000
bob,drop_everything,0.1093
bob,help_after_task,0.1417
bob,pair_up,0.1815
bob,teach,0.2093
bob,quick_tip,0.1898
bob,delegate,0.0750
bob,joke_deflect,0.0852
bob,polite_decline,0.0083
bob,ignore,0.0000
