partner,style,share
carol,drop_everything,0.1306
carol,help_after_task,0.1102
carol,pair_up,0.1704
carol,teach,0.1435
carol,quick_tip,0.1593
carol,delegate,0.1176
carol,joke_deflect,0.0870
carol,polite_decline,0.0769
carol,ignore,0.0046
dave,drop_everything,0.1463
dave,help_after_task,0.1139
dave,pair_up,0.1704
dave,teach,0.1333
dave,quick_tip,0.1565
dave,delegate,0.1139
dave,joke_deflect,0.0833
dave,polite_decline,0.0787
dave,ignore,0.0037
bob,drop_everything,0.1398
bob,help_after_task,0.1111
bob,pair_up,0.1731
bob,teach,0.1435
bob,quick_tip,0.1417
bob,delegate,0.1074
bob,joke_deflect,0.0917
bob,polite_decline,0.0898
bob,ignore,0.0019
