circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-1.3079,-0.1157,-0.1321,0.0926,0.2917,0.6157
home,-1.1505,-0.1152,-0.1315,0.1250,0.2898,0.5852
conference,-0.9769,-0.1182,-0.1320,0.1556,0.2981,0.5463
