circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.7384,-0.1056,-0.1596,0.1528,0.3991,0.4481
home,-0.5486,-0.1033,-0.1731,0.1824,0.4157,0.4019
conference,-0.2824,-0.1030,-0.1634,0.2463,0.3944,0.3593
