partner,style,share
carol,drop_everything,0.1148
carol,help_after_task,0.1287
carol,pair_up,0.2481
carol,teach,0.2546
carol,quick_tip,0.1093
carol,delegate,0.0556
carol,joke_deflect,0.0852
carol,polite_decline,0.0037
carol,ignore,0.0000
dave,drop_everything,0.1259
dave,help_after_task,0.1444
dave,pair_up,0.2537
dave,teach,0.2296
dave,quick_tip,0.1167
dave,delegate,0.0463
dave,joke_deflect,0.0778
dave,polite_decline,0.0056
dave,ignore,0.0000
bob,drop_everything,0.1185
bob,help_after_task,0.1389
bob,pair_up,0.2333
bob,teach,0.2472
bob,quick_tip,0.1148
bob,delegate,0.0454
bob,joke_deflect,0.0972
bob,polite_decline,0.0046
bob,ignore,0.0000
