partner,style,share
carol,drop_everything,0.1361
carol,help_after_task,0.0981
carol,pair_up,0.1676
carol,teach,0.1398
carol,quick_tip,0.1574
carol,delegate,0.1194
carol,joke_deflect,0.0796
carol,polite_decline,0.0944
carol,ignore,0.0074
dave,drop_everything,0.1491
dave,help_after_task,0.1102
dave,pair_up,0.1620
dave,teach,0.1500
dave,quick_tip,0.1417
dave,delegate,0.1130
dave,joke_deflect,0.1009
dave,polite_decline,0.0676
dave,ignore,0.0056
bob,drop_everything,0.1370
bob,help_after_task,0.1111
bob,pair_up,0.1537
bob,teach,0.1417
bob,quick_tip,0.1398
bob,delegate,0.1120
bob,joke_deflect,0.0981
bob,polite_decline,0.0954
bob,ignore,0.0111
