circumstance,outcome,authenticity,cost,positive_pct,neutral_pct,negative_pct
work,-0.6667,-0.1124,-0.1897,0.2380,0.2574,0.5046
home,-0.3611,-0.1088,-0.1924,0.2167,0.4222,0.3611
conference,-0.3495,-0.1114,-0.1928,0.3111,0.2380,0.4509
