episode,mask,o,c,e,a,n,norm
18,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
18,mask_work,-0.03039,0.35186,0.00780,-0.15342,0.12808,0.40587
18,mask_home,0.16168,0.01709,0.22101,-0.02193,0.07543,0.28539
18,mask_conference,0.13732,0.18178,0.15572,-0.09845,0.07587,0.30265
19,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
19,mask_work,-0.02753,0.36216,0.01035,-0.15303,0.12924,0.41491
19,mask_home,0.16685,0.01785,0.22787,-0.02173,0.07620,0.29387
19,mask_conference,0.14203,0.19048,0.16066,-0.09759,0.07687,0.31257
20,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
20,mask_work,-0.02460,0.37172,0.01283,-0.15244,0.13021,0.42325
20,mask_home,0.17155,0.01877,0.23410,-0.02163,0.07691,0.30162
20,mask_conference,0.14632,0.19881,0.16519,-0.09671,0.07774,0.32190
21,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
21,mask_work,-0.02166,0.38058,0.01521,-0.15170,0.13102,0.43095
21,mask_home,0.17582,0.01974,0.23977,-0.02157,0.07760,0.30867
21,mask_conference,0.15036,0.20652,0.16939,-0.09585,0.07857,0.33062
22,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
22,mask_work,-0.01871,0.38879,0.01748,-0.15082,0.13169,0.43807
22,mask_home,0.17960,0.02077,0.24488,-0.02144,0.07832,0.31503
22,mask_conference,0.15402,0.21389,0.17321,-0.09496,0.07937,0.33881
23,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
23,mask_work,-0.01575,0.39639,0.01963,-0.14984,0.13225,0.44463
23,mask_home,0.18299,0.02184,0.24951,-0.02126,0.07904,0.32081
23,mask_conference,0.15738,0.22082,0.17670,-0.09408,0.08014,0.34645
24,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
24,mask_work,-0.01268,0.40345,0.02170,-0.14868,0.13266,0.45068
24,mask_home,0.18600,0.02297,0.25369,-0.02102,0.07977,0.32602
24,mask_conference,0.16058,0.22721,0.17994,-0.09316,0.08083,0.35356
25,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
25,mask_work,-0.00953,0.40992,0.02374,-0.14742,0.13298,0.45619
25,mask_home,0.18868,0.02411,0.25748,-0.02076,0.08050,0.33074
25,mask_conference,0.16360,0.23317,0.18297,-0.09217,0.08144,0.36020
26,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
26,mask_work,-0.00639,0.41576,0.02575,-0.14613,0.13323,0.46115
26,mask_home,0.19108,0.02525,0.26091,-0.02047,0.08121,0.33502
26,mask_conference,0.16643,0.23874,0.18576,-0.09116,0.08200,0.36638
27,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
27,mask_work,-0.00324,0.42103,0.02775,-0.14480,0.13341,0.46563
27,mask_home,0.19322,0.02637,0.26402,-0.02019,0.08191,0.33890
27,mask_conference,0.16908,0.24391,0.18835,-0.09015,0.08251,0.37214
28,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
28,mask_work,-0.00012,0.42579,0.02970,-0.14346,0.13354,0.46967
28,mask_home,0.19513,0.02747,0.26682,-0.01988,0.08260,0.34240
28,mask_conference,0.17160,0.24870,0.19076,-0.08915,0.08297,0.37752
29,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
29,mask_work,0.00295,0.43006,0.03160,-0.14213,0.13363,0.47330
29,mask_home,0.19681,0.02853,0.26935,-0.01957,0.08327,0.34557
29,mask_conference,0.17405,0.25311,0.19304,-0.08808,0.08337,0.38254
30,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
30,mask_work,0.00599,0.43392,0.03345,-0.14080,0.13368,0.47659
30,mask_home,0.19831,0.02954,0.27164,-0.01923,0.08394,0.34843
30,mask_conference,0.17635,0.25720,0.19513,-0.08707,0.08372,0.38720
31,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
31,mask_work,0.00888,0.43737,0.03523,-0.13956,0.13373,0.47955
31,mask_home,0.19965,0.03053,0.27372,-0.01891,0.08457,0.35103
31,mask_conference,0.17849,0.26107,0.19705,-0.08607,0.08406,0.39156
32,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
32,mask_work,0.01163,0.44046,0.03695,-0.13834,0.13374,0.48222
32,mask_home,0.20082,0.03147,0.27558,-0.01861,0.08519,0.35336
32,mask_conference,0.18055,0.26456,0.19888,-0.08506,0.08433,0.39559
33,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
33,mask_work,0.01432,0.44325,0.03862,-0.13714,0.13372,0.48462
33,mask_home,0.20187,0.03236,0.27724,-0.01834,0.08578,0.35547
33,mask_conference,0.18245,0.26771,0.20063,-0.08410,0.08456,0.39929
34,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
34,mask_work,0.01699,0.44580,0.04025,-0.13590,0.13366,0.48680
34,mask_home,0.20279,0.03322,0.27874,-0.01807,0.08635,0.35736
34,mask_conference,0.18425,0.27061,0.20227,-0.08316,0.08477,0.40273
35,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
35,mask_work,0.01957,0.44810,0.04181,-0.13465,0.13356,0.48877
35,mask_home,0.20361,0.03411,0.28010,-0.01782,0.08689,0.35909
35,mask_conference,0.18593,0.27330,0.20379,-0.08227,0.08495,0.40593
36,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
36,mask_work,0.02204,0.45019,0.04331,-0.13344,0.13345,0.49056
36,mask_home,0.20434,0.03500,0.28133,-0.01761,0.08738,0.36065
36,mask_conference,0.18755,0.27577,0.20524,-0.08139,0.08511,0.40892
37,mask_default,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000
37,mask_work,0.02443,0.45208,0.04475,-0.13225,0.13331,0.49218
37,mask_home,0.20497,0.03585,0.28242,-0.01740,0.08787,0.36206
37,mask_conference,0.18910,0.27800,0.20661,-0.08054,0.08524,0.41169
