partner,style,share
carol,drop_everything,0.1130
carol,help_after_task,0.1546
carol,pair_up,0.2352
carol,teach,0.2352
carol,quick_tip,0.1074
carol,delegate,0.0593
carol,joke_deflect,0.0926
carol,polite_decline,0.0028
carol,ignore,0.0000
dave,drop_everything,0.1259
dave,help_after_task,0.1333
dave,pair_up,0.2509
dave,teach,0.2370
dave,quick_tip,0.1120
dave,delegate,0.0426
dave,joke_deflect,0.0954
dave,polite_decline,0.0028
dave,ignore,0.0000
bob,drop_everything,0.1111
bob,help_after_task,0.1463
bob,pair_up,0.2472
bob,teach,0.2370
bob,quick_tip,0.1056
bob,delegate,0.0500
bob,joke_deflect,0.0991
bob,polite_decline,0.0037
bob,ignore,0.0000
