partner,style,share
carol,drop_everything,0.1694
carol,help_after_task,0.1074
carol,pair_up,0.2481
carol,teach,0.2120
carol,quick_tip,0.1148
carol,delegate,0.0315
carol,joke_deflect,0.1167
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1731
dave,help_after_task,0.1093
dave,pair_up,0.2509
dave,teach,0.2176
dave,quick_tip,0.1102
dave,delegate,0.0287
dave,joke_deflect,0.1102
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1741
bob,help_after_task,0.0954
bob,pair_up,0.2546
bob,teach,0.2194
bob,quick_tip,0.1120
bob,delegate,0.0269
bob,joke_deflect,0.1176
bob,polite_decline,0.0000
bob,ignore,0.0000
