partner,style,share
carol,drop_everything,0.1278
carol,help_after_task,0.1167
carol,pair_up,0.2083
carol,teach,0.2111
carol,quick_tip,0.2009
carol,delegate,0.0519
carol,joke_deflect,0.0833
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1444
dave,help_after_task,0.0981
dave,pair_up,0.1796
dave,teach,0.2139
dave,quick_tip,0.2130
dave,delegate,0.0472
dave,joke_deflect,0.1037
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1481
bob,help_after_task,0.0991
bob,pair_up,0.2046
bob,teach,0.1898
bob,quick_tip,0.2102
bob,delegate,0.0481
bob,joke_deflect,0.1000
bob,polite_decline,0.0000
bob,ignore,0.0000
