partner,style,share
carol,drop_everything,0.1630
carol,help_after_task,0.0963
carol,pair_up,0.2565
carol,teach,0.2417
carol,quick_tip,0.1037
carol,delegate,0.0222
carol,joke_deflect,0.1167
carol,polite_decline,0.0000
carol,ignore,0.0000
dave,drop_everything,0.1759
dave,help_after_task,0.1148
dave,pair_up,0.2611
dave,teach,0.2019
dave,quick_tip,0.1259
dave,delegate,0.0269
dave,joke_deflect,0.0935
dave,polite_decline,0.0000
dave,ignore,0.0000
bob,drop_everything,0.1815
bob,help_after_task,0.0870
bob,pair_up,0.2537
bob,teach,0.2130
bob,quick_tip,0.1130
bob,delegate,0.0259
bob,joke_deflect,0.1259
bob,polite_decline,0.0000
bob,ignore,0.0000
