partner,style,share
carol,drop_everything,0.0963
carol,help_after_task,0.1241
carol,pair_up,0.1389
carol,teach,0.1463
carol,quick_tip,0.1731
carol,delegate,0.1250
carol,joke_deflect,0.1000
carol,polite_decline,0.0778
carol,ignore,0.0185
dave,drop_everything,0.1093
dave,help_after_task,0.1065
dave,pair_up,0.1241
dave,teach,0.1426
dave,quick_tip,0.1713
dave,delegate,0.1259
dave,joke_deflect,0.0991
dave,polite_decline,0.1009
dave,ignore,0.0204
bob,drop_everything,0.1130
bob,help_after_task,0.1046
bob,pair_up,0.1472
bob,teach,0.1417
bob,quick_tip,0.1444
bob,delegate,0.1398
bob,joke_deflect,0.0944
bob,polite_decline,0.1000
bob,ignore,0.0148
